S.N.,Tender No,Tender Name,Awarded to,Contract Amount,Remarks
1,CHSAT/NCB/074/75-01,"Design, Supply, Installation, Testing and Commissioning of Chameliya-Syaule-Attariya 132 kV Second Circuit Transmission Line","M/S Sigma Con. (P.) Ltd. 111/19 Meteri Marg, Baneswor, Kathmandu, Nepal Phone: 01- 4473291/4495894 Fax: 01-4495031","NRs. 30,92,96,650.00 (In words Thirty Crore Ninety Two Lakh Ninety Six Thousand Six Hundred Fifty only)",Notice for Intent TL
2,UAHEP-AR-QCBS-3,"Detailed Engineering Design, Tender Document Preparation, and Construction Supervision and Contract Management of Access Road Construction for Upper Arun Hydroelectric Project",M/S JV OF KYONG DONG Engineering Co. Ltd. Republic of Korea and NEPAL Consult Pvt. Ltd. NEPAL,0,USD 1576580.00 and NRs 167417000.00 inclusive of all taxes
3,ICB-TD-TKTLP-073/74-02,"Procurement of Plant for Gas Insulated 220 kV Barhabise Substation (Design, Supply, Install and Commission)","M/S JV of Guangxi Transmission & Substation Construction Co., Ltd. & Shenzhen Clou Electronics Co., Ltd., China","USD 8,793,468.11 Plus NRs. 315,387,690.78 (Excluding Taxes & Duties)",Notification of Award
4,ML/TL/073/74-01,"Procurement of Plant Design, Supply, and Installation of New Modi- Lekhnath 132 kV Transmission Line","New Modi Lekhnath132kVTransmission Line Project Transmission Directorate Nepal Electricity Authority NEA Training Centre Building, Kharipati, Bhaktapur, Nepal Phone: +977 1 6614556, Email: modilekha@nea.org.np",0,"USD 5,435,967.41 excluding taxes and duties (In Words: US Dollar Fifty Four Lacs Thirty Five Thousand Nine Hundred Sixty Seven and Forty One Cents Only)"
5,PMD/PTDEEP/LCSCP-073/74-01,"Design, Supply, Installation and Commissioning of Gas insulated 220 kV Lapsiphedi Substation and 132 kV Changunarayan Substation",Sinosteel Equipment and Engineering Co. Ltd and Shandong Zhaowei Steel Tower Co. Ltd. J/V,0,"USD 12,412,091.21 NRS 431,386,684.16 (Excluding Tax, duties and VAT)"
6,DSMP/REMP-074/75,Consulting Services for Preparation of Distribution System/ Rural Electrification Master Plan,M/S. Gesto Energia S.A(Portugal),0,"Grant No. 0397-NEP(EF) Contract Amount : USD 4,005,074.12 + NPR 73,863,000.00 (excluding VAT)"
7,ICB-REIP-073/74-01,"Lot 1: Immediate Relief Measure Works (Supply, Delivery and Installation of Line Materials)","M/S Waiba Infratech Pvt. Ltd. Swyambhu, Kathmandu",0,"Evaluated Price: US $ 265,641.60 Plus NRs 3,783,000.00 (Without Taxes and VAT)"
8,NEA/ESD/DKSHEP-T-02/2073/074,Construction of Test Adit,"M/S Himalayan Construction / Waiba Infratech JV, Swayambhu-15, Kathmandu",0,"10,91,51,220.00 (Including VAT)"
9,LG-NCB-073/074-01,"Civil Works at Lamahi Substation, Jhingni Substation and Ajambari Park, Dand",Dayana Construction Jorpati-1 Kathmandu,0,"NRS 64,18,238.82 (inclusive VAT)"
10,NEA/ESD/DKSHEP-T-01/2073/074,Procurement of Core Drilling,"East Management and Engineering Service Pvt. Ltd., Satdobato, Lalitpur",0,"45,765,000.00 (including VAT)"
