S.N.,Tender No,Tender Name,Company,Status,Remarks
1,NEA-ES-01/2070/71,Reference No: NEA-ES-01/2070/71,Building and Physical Infrastructure Construction Project,New,-
2,IFB No: KOSHIA{EA/KC-3,"Package KC-3: Procurement of Plant Design, Supply, Installation, Testing & Commissioning of 220 kV Basantapur (Terhathum District)- Dhungesangu (Taplejung District) Double Circuit Transmission line and 132133 kV Substation in Dhungesangu (T",Koshi Corridor 220kV Transmission Line Proiect,New,-
3,ICB-TD-TKTLP-073/74-02,"Procurement of Plant for Gas Insulated 220 kV Barhabise Substation (Design, Supply, Install and Commission)",Tamakoshi-Kathmandu 220/400kV Transmission Line Project,New,-
4,HDI/ICB/DH/GIS,"Procurement of Plant Design, Supply, Installation, Testing and Commissioning of 400kV Dhalkebar Substation",Hetauda-Dhalkebar-Inaruwa 400KV Substation Expansion Project,New,-
5,RE:ICB-PMD-KGTCP-072/73-04,"Procurement of Plant for Design, Supply, Installation and Commissioning of Kushma - New Butwal 220kV Transmission Line under SASEC Power System Expansion Project",Kaligandaki Transmission Corridor Project,New,-
6,ICB-TD-TKTLP-073/74-02,"Procurement of Plant for Gas Insulated 220 kV Barhabise Substation (Design, Supply, Install and Commission)",Tamakoshi-Kathmandu 220/400 kV Transmission Line Project,New,-
7,PMD/PTDEEP/LCSCP-073/74-01,"Design, Supply, Installation and Commissioning of Gas insulated 220 kV Lapsiphedi Substation and 132 kV Changunarayan Substation",Lapsiphedi & Changunarayan Substation Construction Project,New,-
8,PMD/PTDEEP/KTCEP-073/74-01,"Design, Supply, Installation and commissioning of 132kV GIS substation at Kathmandu Valley",Kathmandu Valley Transmission Capacity Reinforcement Project,New,-
9,PSRSHDP/NEA/S/QCBS-2,"Environmeit ard Social Impact Assessment (ESIA), Cumulative Impact Assessment (CU) ani Social planning Studies for Upper Arun Hydroelectric Project and Ikhrwa Khola 'Hydropower project.",Upper Arun Hydroelectric Project,New,-
10,ICB-PMD-KGTCP-073/74-03,"Procurement of Plant for 220/132kV New Butwal Substation (Design, Supply, Installation and Commissioning","M/S TATA Projects Limited, India",New,-
